phase,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,hip_q,knee_q,passive_ankle_q,toe_x_sim,toe_y_sim
0.89,0.0,1.0892,0.3056080231842563,0.5538938295093068,0.4833094768430975,0.0241017633479355,0.51875,0.195125,-0.24716021332610774,0.7236052729948182,0.04251182450510309
0.9,0.0,1.0892,0.3022564125130378,0.5519942469642118,0.4725901322322204,0.0197876480511328,0.5125,0.20275,-0.25314399795186926,0.7132041244646341,0.03342241031455158
0.91,0.0,1.0892,0.2988929949891396,0.5501156489505357,0.4618261893922294,0.0155969737280464,0.5062500000000001,0.210375,-0.2598818456894364,0.7026700976323749,0.02426945109108368
0.92,0.0,1.0892,0.2955179019956307,0.5482581088507742,0.4510192044000934,0.0115302588648471,0.5,0.218,-0.2669235996013027,0.691991815528083,0.015163533718023328
0.93,0.0,1.0892,0.2921312653716521,0.5464216992248516,0.4401707398273332,0.0075880013152964,0.49375,0.225625,-0.2740877958949777,0.6811664554703737,0.006150976020198904
0.94,0.0,1.0892,0.2887332174072662,0.5446064918072854,0.4292823644594365,0.0037706782160371,0.4875,0.2332499999999999,-0.2813002217571092,0.6701941982387734,-0.0027476302360958044
0.95,0.0,1.0892,0.2853238908382898,0.5428125575043843,0.4183556530141477,7.874590574630247e-05,0.48125,0.240875,-0.29050296334718134,0.659052922482732,-0.011997034415529871
0.96,0.0,1.0892,0.2819034188411081,0.5410399663914791,0.4073921858586823,0.0,0.475,0.2485,-0.3038940081137302,0.6476707712473354,-0.018633341182615636
0.97,0.0,1.0892,0.2784719350274739,0.5392887877101846,0.3963935487259239,0.0,0.46875,0.256125,-0.318307843940198,0.6360489528402871,-0.025422180842352635
0.98,0.0,1.0892,0.2750295734392871,0.5375590898656956,0.3853613324296518,0.0,0.4625,0.26375,-0.3295049514834436,0.6243040946528223,-0.03142222750158556
0.99,0.0,1.0892,0.2715764685433596,0.5358509404241139,0.3742971325788596,0.0,0.45625,0.271375,-0.17971710917805753,0.6152939268235201,0.0012430461764379034
